path,version,artifact_type,function,size_bytes,one_line_desc,sha256,secondary_function
QUICKSTART.md,open-design,doc,intake,14197,Run the full product locally.,ad6ea6c5956d8137c3d5b245ede09ab474c17d387dc9df83ce9f02c25d064527,
README.md,open-design,doc,intake,71969,"> The open-source alternative to [Claude Design][cd]. Local-first, web-deployable, BYOK at every layer — 13 coding-agent",b797770c7df4daa1907cbac51e362f3fb5ec607684931804e73b23f6964de3b5,
CONTRIBUTING.md,open-design,doc,intake,17523,"Thanks for thinking about contributing. OD is small on purpose — most of the value lives in files (skills, design system",513843380c2576f42658d1bd17ea8227c60d69b67b0045abe906137b53623ed3,
AGENTS.md,open-design,doc,intake,9359,"This file is the single source of truth for agents entering this repository. Read this file first; after entering apps/,",bb3d6ec988e946a31fe62999ce71c45bcdc5b5a477353329478bd833faa568ea,
CLAUDE.md,open-design,doc,intake,11,Pointer redirecting to AGENTS.md,336cc4fbf19beaada7ccf9986414fa91851a8d7a07dfb3ccbe800a69eed0ab49,
skills/gamified-app/SKILL.md,open-design,skill,build,4455,A multi-frame gamified mobile-app prototype — three phone frames on a dark,431bc81415c3b2b8ca1e7909252b5dd3ddbc4f827989c34a0d080d7d0930d23e,
skills/image-poster/SKILL.md,open-design,skill,build,3474,"Single-image generation skill for posters, key art, and editorial",2b01635910567bb41aad9cd8052ca2490abaeeb5278c1ecad18b12b953dfcfbe,
skills/html-ppt-presenter-mode-reveal/SKILL.md,open-design,skill,build,4444,A focused entry point into the html-ppt master skill that lands the user directly on the presenter-mode-reveal full-deck,22511b74a09182adceea459f98e979c348fbcec5187e4424cfce8e5ab4327e2a,
skills/html-ppt-pitch-deck/SKILL.md,open-design,skill,build,4245,A focused entry point into the html-ppt master skill that lands the user directly on the pitch-deck full-deck template.,48e0d6b55412a9fd7973462ab3092098b939dc0f1f9ce267b7257e69937001bb,
skills/html-ppt-taste-brutalist/SKILL.md,open-design,skill,build,4861,"A 16:9 deck for project debriefs, security reviews, infra incident write-ups, ops walkthroughs, and any ""we are not sell",e3b7e42464ef8cb9dcf8fadd3a3fc7432cee22768375757385bd3bc241abe12e,
skills/web-prototype/SKILL.md,open-design,skill,build,4162,"Produce a single, self-contained HTML prototype using the bundled seed and layout library — not by writing CSS from scra",b8fdd56defdfe3081f6fe76d325fab4b7739a58b2550ace67f2cf0ab149288a5,
skills/web-prototype/references/layouts.md,open-design,skill,build,10653,8 paste-ready section skeletons. Drop into of assets/template.html. Don't write sections from scratch — pick the closest,2603a66c33c4e94153f9d290c314d28b9da7b736a1a4b13ab39599f85d8036bb,
